Name,Type,Notes
AM Fare Description MODELs ,Package,
AM Customer Transaction MODELs,Package,
AM Mobility Service Pricing MODEL,Package,
AM Alternative Modes Fare Contract Information VIEW,Package,
AM FS Alternative Modes Fare Structure MODEL,Package,
AM AR Access Rights and Sales Offer MODEL,Package,
"AM Payment, Retail and Distribution Information MODEL",Package,
AM FS Distance Matrix Element MODEL,Package,
,Constraint,exclusion
,Constraint,exclusion
,Note,"Service may be charged according to distance, time, or point to point. Also by time of use (FARE DEMAND FACTOR)."
,Text,
,Note,may be for Public Transport or for other services
AM Usage Parameters MODEL,Package,
,Text,
,Text,
AM Pooling Eligibility Usage Parameters MODEL,Package,
AM Rental Usage Parameters MODEL,Package,
,Text,
VEHICLE EQUIPMENT PROFILE,Class,"Each instantiation of this entity gives the number of items of one TYPE OF EQUIPMENT a VEHICLE MODEL should contain for a given PURPOSE OF EQUIPMENT PROFILE.
NOTE: The set of instantiations for one VEHICLE MODEL and one purpose gives one complete 'profile'."
,Text,
VEHICLE POOLER PROFILE,Class,A set of USER PARAMETERS required for a specific SINGLE JOURNEY of a VEHICLE POOLING SERVICE.
,Text,
,Text,
RENTAL OPTION,Class,A USAGE PARAMETER characterising access rights to RENTAL SERVICEs.
ADDITIONAL DRIVER OPTION,Class,"A specialisation of USAGE PARAMETER characterising additional driver access rights to a RENTAL SERVICE.
"
RENTAL PENALTY POLICY ,Class,"Policy regarding different aspects of hire charges, charges, for example refuelling, late vehicle return, loss of vehicle or equipment, traffic fines, etc. 
"
TYPE OF RENTAL PENALTY POLICY,Class,"A classification of a RENTAL PENALTY POLICY; action taken if user breaks rental agreement, e.g., fails to return vehicle. 
"
RENTAL VEHICLE FEATURE OPTION,Class,A specialisation of USAGE PARAMETER summarising vehicle features for a RENTAL SERVICE.
,Text,
DRIVER FEE BASIS,Class,"A classification of the charging basis for additional drivers, for example; free, per driver, unlimited drivers, etc 
"
,Note,"Different pricing models are possible
a) Flat per Journey
b) Point to Point
c) Distance based"
,Text,
,Text,Description of what access rights offer.
,Text,
Description of what is effectively purchased,Boundary,
                                       ,Boundary,
,Note,Registration is recorded through CUSTOMER PURCHASE PACKAGE
Description of Access Rights to Service,Boundary,
,Text,
Description of Payment Method and Equipment,Boundary,
,Text,
,Text,
AM Vehicle Service Registration MODEL,Package,
AM Vehicle Access Credentials MODEL,Package,
AM Individual Traveller MODEL,Package,
,Text,
,Note,"The ""travel matching"" algorithms have to consider these 2 information sets as well as the information regarding the transport offer
"
,Note,"The INDIVIDUAL TRAVELLER may play several roles
"
VEHICLE POOLING service offer and usage,Boundary,
Parameters determining service access rights: in case of carpooling these have to match with the parameters of the carpooling traveler's request,Boundary,
AM Individual Passenger and Driver MODEL,Package,
AM Passenger and Individual Driver Role MODEL,Package,
,Text,
VEHICLE POOLING DRIVER INFO,Class,Information characterising an INDIVIDUAL TRAVELLER as a driver of a VEHICLE POOLING SERVICE.
,Note,"Private driver doing carpooling, taxi driver, chauffeur"
INDIVIDUAL PASSENGER INFO,Class,"Information characterising an INDIVIDUAL TRAVELLER as a user of any MODE of transport, based on any MODE OF OPERATION.

"
INDIVIDUAL TRAVELLER,Class,Individual travelling person.
,Note,Values can be compared with VEHICLE POOLER PROFILE for offered service profile to see if they match
,Text,
USUAL DRIVING STYLE,Class,"Classification o driving style, e.g., relaxed, fast."
INDIVIDUAL DRIVER ROLE,Class,"The role of a user driving a vehicle and providing a travel service as a single individual (for example, in the context of car pooling)."
,Note,"Not in scope for NeTEx
"
,Text,
,Note,"The INDIVIDUAL TRAVELLER may play several roles
"
VEHICLE POOLING service offer and usage,Boundary,
,Text,
VEHICLE ACCESS ASSIGNMENT,Class,"The allocation of a MEDIUM ACCESS DEVICE to a specific VEHICLE, to allow the user (TRANSPORT CUSTOMER) to access the vehicle (typically for VEHICLE SHARING or VEHICLE RENTAL).
NOTE: This allocation may have validity limitations.
"
SERVICE ACCESS CODE,Class,"Code to access a service, can be numerical code, barcode, flashcode, etc."
,Text,
,Text,
,Text,
,Text,
TRAVELLER VALIDITY PARAMETER,Class,A type of VALIDITY PARAMETER related to the specific traveller.
AM Vehicle Availability Information MODEL,Package,
AM Vehicle Parking Area MODEL ,Package,
AM Service Availability Information VIEW,Package,
AM Vehicle Detecting VIEW,Package,
AM Infrastructure Access Information VIEW,Package,
AM Dynamic Vehicle Pooling MODEL,Package,
AM Booking Arrangements VIEW,Package,
,Text,
DYNAMIC VEHICLE MEETING POINT ASSIGNMENT,Class,Dynamic allocation of a VEHICLE MEETING ASSIGNMENT.
,Text,
PARKING AREA CAPACITY ASSIGNMENT,Class,"The allocation of a number of spots for a particular VEHICLE TYPE within a PARKING AREA.
"
cheracteristics of a PARKING inherited by VEHICLE SHARING PARKING AREA and VEHICLE POOLING PARKING AREA,Boundary,
,Text,
,Note,Coordinates of any spatial element related to the ALTERNATIVE MODE services
,Note,Address of any spatial element related to the ALTERNATIVE MODE services
Infrastructure Access description by ADDRESS,Boundary,
Infrastructure Access description by coordinates,Boundary,
,Note,"Real-time - Implement with SIRI, not NeTEx
"
MONITORED VEHICLE SERVICE PARKING BAY,Class,A spot in the PARKING AREA dedicated to VEHICLE SHARING or VEHICLE RENTING which is monitored for occupancy. 
PARKING BAY STATUS,Class,"A categorisation of the availability of the parking spot, such as being temporarily closed, unavailable, available.
"
PARKING RENTAL STATUS,Class,"A summary of the status of the parking at a given point on time.
"
PARKING BAY CONDITION,Class,"A record of the status of the parking bay at a given moment in time.
"
,Text,
,Text,
AM Mobility Service Frame MODEL,Package,
AM Mobility Journey Frame MODEL,Package,
,Text,
MOBILITY SERVICE FRAME,Class,A set of MOBILITY SERVICE data elements to which the same VALIDITY CONDITIONs have been assigned. 
,Text,
MOBILITY JOURNEY FRAME,Class,A set of MOBILITY JOURNEY data elements to which the same VALIDITY CONDITIONs have been assigned. 
AM Vehicle Service Event Model,Package,
AM Vehicle Pooling Logging MODEL,Package,
,Text,
AM Vehicle Use Logging MODEL,Package,
AM Vehicle Ride Logging MODEL,Package,
AM Vehicle Passenger Event MODEL,Package,
AM Vehicle Driver Event MODEL,Package,
AM Vehicle Driver Log Entry MODEL,Package,
AM Vehicle Passenger Log Entry MODEL,Package,
,Text,
POST JOURNEY WANTED EVENT,Class,A JOURNEY WANTED EVENT occurring when a customer posts the description of a trip they want to make 
ACCEPT JOURNEY OFFER EVENT,Class,A JOURNEY WANTED EVENT occurring when a customer accepts an offer of a journey that matches the description of a journey that they want to make.
CANCEL JOURNEY OFFER EVENT,Class,"A JOURNEY WANTED EVENT occurring when a customer cancels a previous acceptance of an offer.

"
HAIL VEHICLE EVENT,Class,"A VEHICLE WANTED EVENT occurring when a customer hails a taxi or other vehicle.
"
VEHICLE WANTED EVENT,Class,"An abstract VEHICLE SERVICE associated with a customer seeking an available taxi.
"
BOOK VEHICLE RIDE EVENT,Class,"A VEHICLE WANTED EVENT occurring when a customer books a ride.
"
,Text,
JOURNEY WANTED EVENT,Class,An abstract VEHICLE SERVICE EVENT relating to a JOURNEY OFFER.
,Text,
PUBLISH JOURNEY OFFER EVENT,Class,A JOURNEY OFFER EVENT occurring when a driver publishes a journey offer.
MODIFY JOURNEY OFFER EVENT,Class,"A JOURNEY OFFER EVENT occurring when a driver modifies a journey offer.

"
RETRACT JOURNEY OFFER EVENT,Class,"A JOURNEY OFFER EVENT occurring when a driver retracts a journey offer.

"
CANCEL RIDER BID EVENT,Class,"A JOURNEY OFFER EVENT occurring when a driver cancels a previous acceptance of a riders's bid to use his journey offer.

"
ACCEPT RIDER BID EVENT,Class,"A JOURNEY OFFER EVENT occurring when a driver accepts a riders's bid to use the driver's journey offer.

"
JOURNEY OFFER EVENT,Class,"An abstract VEHICLE SERVICE EVENT relating to a drivers provision of a JOURNEY OFFER.
"
,Text,
PUBLISH JOURNEY OFFER ENTRY,Class,A SINGLE JOURNEY ENTRY recording the posing of a journey wanted description.
MODIFY JOURNEY OFFER ENTRY,Class,"A SINGLE JOURNEY ENTRY recording the acceptance of an offered SINGLE JOURNEY.

"
RETRACT JOURNEY OFFER ENTRY,Class,"A SINGLE JOURNEY ENTRY recording the cancellation of an offered SINGLE JOURNEY.
"
CANCEL RIDER BID ENTRY,Class,"A VEHICLE POOLING ENTRY recording the hailing of a VEHICLE.
"
ACCEPT RIDER BID ENTRY,Class,"A VEHICLE POOLING ENTRY recording the successful hailing of a TAXI,

"
JOURNEY OFFER ENTRY,Class,An abstract VEHICLE SERVICE ENTRY recording use of a VEHICLE for a SINGLE JOURNEY.
,Text,
POST JOURNEY WANTED ENTRY,Class,A JOURNEY WANTED ENTRY recording the posing of a journey wanted description.
ACCEPT JOURNEY OFFER ENTRY,Class,"A JOURNEY WANTED ENTRY recording the acceptance of an offered SINGLE JOURNEY.
"
CANCEL JOURNEY OFFER ENTRY,Class,"A JOURNEY WANTED ENTRY recording the cancellation of an offered SINGLE JOURNEY.
"
HAIL VEHICLE RIDE ENTRY,Class,"A VEHICLE WANTED ENTRY recording the hailing of a VEHICLE.
"
VEHICLE WANTED ENTRY,Class,"An abstract VEHICLE SERVICE ENTRY recording how the customer obtained a vehicle.
"
BOOK VEHICLE RIDE ENTRY,Class,"A VEHICLE WANTED ENTRY when a customer books a taxi or other pooling service ride.
"
,Text,
JOURNEY WANTED ENTRY,Class,An abstract VEHICLE SERVICE ENTRY recording use of a VEHICLE for a SINGLE JOURNEY.
AM Vehicle Provision Event MODEL,Package,
AM Vehicle Use Event MODEL,Package,
AM Vehicle Provision Log Entry MODEL,Package,
AM Vehicle Use Log Entry MODEL,Package,
,Text,
,Text,
BOOK VEHICLE EVENT,Class,A VEHICLE USE EVENT occurring when a customer books a VEHICLE.
COLLECT VEHICLE EVENT,Class,"A VEHICLE USE EVENT occurring when a customer collects a VEHICLE.
"
RETURN VEHICLE EVENT,Class,"A VEHICLE USE EVENT occurring when a customer returns a VEHICLE.
"
LATE RETURN VEHICLE EVENT,Class,"A VEHICLE USE EVENT occurring when a customer returns a VEHICLE late.
"
REPORT TRAFFIC OFFENCE EVENT,Class,"A VEHICLE USE EVENT occurring when a traffic offence is reported against a VEHICLE.
"
,Text,
VEHICLE USE EVENT,Class,"An event associated with a VEHICLE USE by a customer.
"
REPORT DAMAGE TO VEHICLE EVENT,Class,"A VEHICLE USE EVENT occurring when a customer reports damage or loss of a VEHICLE.
"
RESERVE VEHICLE ENTRY,Class,A VEHICLE PROVISION ENTRY recording the booking of a VEHICLE.
REGISTER VEHICLE COLLECTION ENTRY,Class,"A VEHICLE PROVISION ENTRY recording the collecting of a VEHICLE.
"
REGISTER VEHICLE RETURN ENTRY,Class,"A VEHICLE PROVISION ENTRY recording the return of a VEHICLE.
"
WITHDRAW VEHICLE ENTRY,Class,"A VEHICLE PROVISION ENTRY recording the withdrawal of a VEHICLE as available.
"
VEHICLE PROVISION ENTRY,Class,"A VEHICLE SERVICE ENTRY recording some aspect of provision of a VEHICLE by an operator to a customer, e.g., reserving, check-out, return, etc.
"
DETECT NO RETURN ENTRY,Class,"A VEHICLE PROVISION ENTRY recording the failure to return a VEHICLE by a specified time.
"
DETECT DAMAGE TO VEHICLE ENTRY,Class,"A VEHICLE PROVISION ENTRY recording damage to a VEHICLE,
"
,Text,
PROVIDE VEHICLE ENTRY,Class,A VEHICLE PROVISION ENTRY recording the provision of a VEHICLE to a specified place.
,Text,
BOOK VEHICLE ENTRY,Class,A VEHICLE SHARING ENTRY recording the booking of a VEHICLE.
COLLECT VEHICLE ENTRY,Class,"A VEHICLE SHARING ENTRY recording the collecting of a VEHICLE.
"
RETURN VEHICLE ENTRY,Class,"A VEHICLE SHARING ENTRY recording the return of a VEHICLE.
"
REPORT TRAFFIC OFFENCE ENTRY,Class,"A VEHICLE SHARING ENTRY recording the report of a traffic offence by a VEHICLE.
"
,Text,
VEHICLE USE ENTRY,Class,An abstract VEHICLE SERVICE ENTRY recording use of a VEHICLE.
REPORT DAMAGE TO VEHICLE ENTRY,Class,"A VEHICLE SHARING ENTRY recording damage or loss of a VEHICLE.
.
"
WITHDRAW VEHICLE EVENT,Class,"A VEHICLE PROVISION EVENT occurring when a VEHICLE is withdrawn from being available.
"
,Text,
RESERVE VEHICLE EVENT,Class,A VEHICLE PROVISION EVENT occurring when a customer reserves a VEHICLE.
REGISTER VEHICLE COLLECTION EVENT,Class,"A VEHICLE PROVISION EVENT occurring when a customer is registered as collecting a VEHICLE.
"
REGISTER VEHICLE RETURN EVENT,Class,"A VEHICLE PROVISION EVENT occurring when a customer returns a VEHICLE.
"
DETECT NO RETURN EVENT,Class,"A VEHICLE PROVISION EVENT occurring when a customer fails to return a VEHICLE by an appointed time.
"
VEHICLE PROVISION EVENT,Class,"An event associated with some aspect of provision of a VEHICLE by an operator to a customer, e.g., reserving, check-out, return, etc.

"
DETECT DAMAGE TO VEHICLE EVENT,Class,"A VEHICLE PROVISION EVENT occurring when a damage to a VEHICLE is detected.
"
,Text,
PROVIDE VEHICLE EVENT,Class,A VEHICLE PROVISION EVENT when the operator provides a VEHICLE to a specified place.
,Text,
VEHICLE SERVICE EVENT,Class,"An abstract event associated with a VEHICLE SERVICE.
"
VEHICLE SERVICE ENTRY,Class,A LOG ENTRY recording information about a VEHICLE SERVICE.
AM Ride Provision Event MODEL,Package,
AM Ride Provision Log Entry MODEL,Package,
AM Riding Event MODEL,Package,
AM Riding Log Entry MODEL,Package,
TAXI METER EVENT,Class,"An event associated with a TAXI RIDE by a customer.
"
START METER EVENT,Class,"A TAXI RIDE EVENT occurring when a meter in a VEHICLE is started at the beginning of the ride.


"
PAUSE METER EVENT,Class,"A TAXI RIDE EVENT occurring when a meter in a VEHICLE is paused during the ride.
"
,Text,
STOP METER EVENT,Class,"A TAXI RIDE EVENT occurring when a meter in a VEHICLE is stopped at the end of the ride.
"
RIDE PROVISION EVENT,Class,"An abstract VEHICLE SERVICE ENTRY recording some aspect provision of ride.

"
