Name,Type,Notes
PARKING ENTRANCE FOR VEHICLES,Class,An entrance for vehicles to the PARKING from the road.
PARKING PASSENGER ENTRANCE,Class,"A pedestrian, wheelchair or other out-of-vehicle-mode entrance to the PARKING."
PARKING BAY,Class,A place to park an individual vehicle.
PARKING CAPACITY,Class,PARKING properties providing information about its CAPACITY.
PARKING PROPERTIES,Class,PARKING specific properties other than its capacity.
PARKING AREA,Class,A marked zone within a PARKING containing PARKING BAYs.
PARKING COMPONENT PROPERTIES,Class,"<font color=""#0f0f0f"">A set of public facing characteristics of a PARKING COMPONENT facilitating the recognition of the component by a traveller.</font>
"
TYPE OF PARKING,Class,"A classification for a PARKING, e.g., on street, multi-storey, parking lot, etc.
"
TYPE OF PARKING STAY,Class,"A classification of the type of parking stay, e.g., long term, short term; may be used to choose pricing criteria.
"
PARKING ACCESS SPACE,Class,An area for pedestrian access within a PARKING.
,Text,
TYPE OF PARKING PAYMENT PROCESS,Class,"A classification of a type of parking payment process, pay at display, pay by mobile, pay at exit,Â Â 
"
TYPE OF PARKING RESERVATION,Class,"A classification of a type of parking reservation process for the PARKING, e.g. no reservations, reservations required, reservations possible, etc."
,Text,
,Text,
PARKING PRIORITY CATEGORY,Class,"Characterisation of the priority to park according to some policy rules, e.g. handicapped users during shopping hours, staff, etc
"
,Text,
VEHICLE QUAY ALIGNMENT,Class,The alignment of a particular QUAY with a vehicle as the result of positioning a VEHICLE at a particular VEHICLE STOPPING PLACE.
VEHICLE STOPPING PLACE,Class,"A place on the vehicle track where vehicles stop in order for passengers to board or alight from a vehicle.
NOTE1: A vehicle track is located on the respective INFRASTRUCTURE LINK for the MODE (RAILWAY ELEMENT of rail network, ROAD ELEMENT of road network, etc.).
NOTE2: A VEHICLE STOPPING PLACE may be served by one or more QUAYs."
VEHICLE POSITION ALIGNMENT,Class,The alignment of a particular BOARDING POSITION with the entrance of a VEHICLE as the result of positioning the VEHICLE at a particular VEHICLE STOPPING PLACE.
